# === Skript's variable storage ===
# Please do not modify this file manually!
#
# version: 2.6-beta3

adiamond.name, string, 8018C2A7385BC2A7654E6F7420416374697661746564C2A7385D
eore.xxtroy_90xx, long, 0000000000000000
eore.yeetthedirtblok, long, 0000000000000000
gold_amount_mined_in_x_sec, long, 000000000000000F
gore.-aj3904, long, 0000000000000000
gore.-ajkiller31, long, 0000000000000000
gore.-angelpink1991, long, 0000000000000000
gore.-beardedcocaire, long, 0000000000000000
gore.-blinkandurdead0, long, 0000000000000000
gore.-charahc, long, 0000000000000000
gore.-cooljayice, long, 0000000000000000
gore.-crazymexican938, long, 0000000000000000
gore.-dazed6977, long, 0000000000000000
gore.-deathnerd77, long, 0000000000000000
gore.-earthymama42, long, 0000000000000000
gore.-gryffydd89, long, 0000000000000000
gore.-hotashml, long, 0000000000000000
gore.-iamfriendbesto, long, 0000000000000000
gore.-ikkaku420235, long, 0000000000000000
gore.-kenpachi4202357, long, 0000000000000000
gore.-lenr0c86, long, 0000000000000000
gore.-lily_riley_roxi, long, 0000000000000000
gore.-lowerlevelll, long, 0000000000000000
gore.-mc0oz, long, 0000000000000000
gore.-miarkraim, long, 0000000000000000
gore.-mrbrink53, long, 0000000000000000
gore.-mrsshmeethumb, long, 0000000000000000
gore.-mrzpriceless73, long, 0000000000000000
gore.-natiri607, long, 0000000000000000
gore.-netherkicks, long, 0000000000000000
gore.-nixragnarson, long, 0000000000000000
gore.-noobe_doobe6363, long, 0000000000000000
gore.-ogloc_bruh, long, 0000000000000000
gore.-parrotgirl4333, long, 0000000000000000
gore.-pnnicolas, long, 0000000000000000
gore.-rainbowowl88378, long, 0000000000000000
gore.-sfn2048, long, 0000000000000000
gore.-shadowgiver902, long, 0000000000000000
gore.-shmeethumb, long, 0000000000000000
gore.-shyp4nd4, long, 0000000000000000
gore.-sierralovesyou2, long, 0000000000000000
gore.-stabaho187, long, 0000000000000000
gore.-steverm9403, long, 0000000000000000
gore.-stillnym1988517, long, 0000000000000000
gore.-turningcupid, long, 0000000000000000
gore.-vampires_heart6, long, 0000000000000000
gore.-vcloutphobia, long, 0000000000000000
gore.-wildernesboy, long, 0000000000000000
gore.-xxtroy90xx, long, 0000000000000000
gore._simplysav, long, 0000000000000000
gore.alexzaza, long, 0000000000000000
gore.amin_nasir91, long, 0000000000000000
gore.athwee, long, 0000000000000000
gore.bigbeast89, long, 0000000000000000
gore.biglittleben, long, 0000000000000000
gore.black00widow, long, 0000000000000000
gore.blackcats96, long, 0000000000000000
gore.boopydoopy2350, long, 0000000000000000
gore.certizz, long, 0000000000000000
gore.doddy06, long, 0000000000000000
gore.ecgredneck, long, 0000000000000000
gore.eclipsemc420, long, 0000000000000000
gore.find_wicked, long, 0000000000000000
gore.gamingzation, long, 0000000000000000
gore.haile160, long, 0000000000000000
gore.hathorill, long, 0000000000000000
gore.johnheikens, long, 0000000000000000
gore.kingkaitertot, long, 0000000000000000
gore.laizer101, long, 0000000000000000
gore.maddogselite1, long, 0000000000000000
gore.monaxide, long, 0000000000000000
gore.mr_matthews, long, 0000000000000000
gore.mrzpricey73, long, 0000000000000000
gore.mun_cheez, long, 0000000000000000
gore.muribaka89, long, 0000000000000000
gore.papi_grande2214, long, 0000000000000000
gore.radmobilegaming, long, 0000000000000000
gore.rageofheaven, long, 0000000000000000
gore.shadowy__duckie, long, 0000000000000000
gore.spenceronline, long, 0000000000000000
gore.squishiedragon, long, 0000000000000000
gore.stabaho187, long, 0000000000000000
gore.swagdaddy278, long, 0000000000000000
gore.t0iiialuminati, long, 0000000000000000
gore.turtleduck840, long, 0000000000000000
gore.turtlegaming840, long, 0000000000000000
gore.tyler882d1, long, 0000000000000000
gore.xxtroy_90xx, long, 0000000000000000
gore.yeetthedirtblok, long, 0000000000000000
iore.-aj3904, long, 0000000000000000
iore.-ajkiller31, long, 0000000000000000
iore.-angelpink1991, long, 0000000000000000
iore.-beardedcocaire, long, 0000000000000000
iore.-blinkandurdead0, long, 0000000000000000
iore.-charahc, long, 0000000000000000
iore.-cooljayice, long, 0000000000000000
iore.-crazymexican938, long, 0000000000000000
iore.-dazed6977, long, 0000000000000000
iore.-deathnerd77, long, 0000000000000000
iore.-earthymama42, long, 0000000000000000
iore.-gryffydd89, long, 0000000000000000
iore.-hotashml, long, 0000000000000000
iore.-iamfriendbesto, long, 0000000000000000
iore.-ikkaku420235, long, 0000000000000000
iore.-kenpachi4202357, long, 0000000000000000
iore.-lenr0c86, long, 0000000000000000
iore.-lily_riley_roxi, long, 0000000000000000
iore.-lowerlevelll, long, 0000000000000000
iore.-mc0oz, long, 0000000000000000
iore.-miarkraim, long, 0000000000000000
iore.-mrbrink53, long, 0000000000000000
iore.-mrsshmeethumb, long, 0000000000000000
iore.-mrzpriceless73, long, 0000000000000000
iore.-natiri607, long, 0000000000000000
iore.-netherkicks, long, 0000000000000000
iore.-nixragnarson, long, 0000000000000000
iore.-noobe_doobe6363, long, 0000000000000000
iore.-ogloc_bruh, long, 0000000000000000
iore.-parrotgirl4333, long, 0000000000000000
iore.-pnnicolas, long, 0000000000000000
iore.-rainbowowl88378, long, 0000000000000000
iore.-sfn2048, long, 0000000000000000
iore.-shadowgiver902, long, 0000000000000000
iore.-shmeethumb, long, 0000000000000000
iore.-shyp4nd4, long, 0000000000000000
iore.-sierralovesyou2, long, 0000000000000000
iore.-stabaho187, long, 0000000000000000
iore.-steverm9403, long, 0000000000000000
iore.-stillnym1988517, long, 0000000000000000
iore.-turningcupid, long, 0000000000000000
iore.-vampires_heart6, long, 0000000000000000
iore.-vcloutphobia, long, 0000000000000000
iore.-wildernesboy, long, 0000000000000000
iore.-xxtroy90xx, long, 0000000000000000
iore._simplysav, long, 0000000000000000
iore.alexzaza, long, 0000000000000000
iore.amin_nasir91, long, 0000000000000000
iore.athwee, long, 0000000000000000
iore.bigbeast89, long, 0000000000000000
iore.biglittleben, long, 0000000000000000
iore.black00widow, long, 0000000000000000
iore.blackcats96, long, 0000000000000000
iore.boopydoopy2350, long, 0000000000000000
iore.certizz, long, 0000000000000000
iore.doddy06, long, 0000000000000000
iore.ecgredneck, long, 0000000000000000
iore.eclipsemc420, long, 0000000000000000
iore.find_wicked, long, 0000000000000000
iore.gamingzation, long, 0000000000000000
iore.haile160, long, 0000000000000000
iore.hathorill, long, 0000000000000000
iore.johnheikens, long, 0000000000000000
iore.kingkaitertot, long, 0000000000000000
iore.laizer101, long, 0000000000000000
iore.maddogselite1, long, 0000000000000000
iore.monaxide, long, 0000000000000000
iore.mr_matthews, long, 0000000000000000
iore.mrzpricey73, long, 0000000000000000
iore.mun_cheez, long, 0000000000000000
iore.muribaka89, long, 0000000000000000
iore.papi_grande2214, long, 0000000000000000
iore.radmobilegaming, long, 0000000000000000
iore.rageofheaven, long, 0000000000000000
iore.shadowy__duckie, long, 0000000000000000
iore.spenceronline, long, 0000000000000000
iore.squishiedragon, long, 0000000000000000
iore.stabaho187, long, 0000000000000000
iore.swagdaddy278, long, 0000000000000000
iore.t0iiialuminati, long, 0000000000000000
iore.turtleduck840, long, 0000000000000000
iore.turtlegaming840, long, 0000000000000000
iore.tyler882d1, long, 0000000000000000
iore.xxtroy_90xx, long, 0000000000000000
iore.yeetthedirtblok, long, 0000000000000000
iron_amount_mined_in_x_sec, long, 0000000000000014
lapis_amount_mined_in_x_sec, long, 000000000000000B
lore.-aj3904, long, 0000000000000000
lore.-ajkiller31, long, 0000000000000000
lore.-angelpink1991, long, 0000000000000000
lore.-beardedcocaire, long, 0000000000000000
lore.-blinkandurdead0, long, 0000000000000000
lore.-charahc, long, 0000000000000000
lore.-cooljayice, long, 0000000000000000
lore.-crazymexican938, long, 0000000000000000
lore.-dazed6977, long, 0000000000000000
lore.-deathnerd77, long, 0000000000000000
lore.-earthymama42, long, 0000000000000000
lore.-gryffydd89, long, 0000000000000000
lore.-hotashml, long, 0000000000000000
lore.-iamfriendbesto, long, 0000000000000000
lore.-ikkaku420235, long, 0000000000000000
lore.-kenpachi4202357, long, 0000000000000000
lore.-lenr0c86, long, 0000000000000000
lore.-lily_riley_roxi, long, 0000000000000000
lore.-lowerlevelll, long, 0000000000000000
lore.-mc0oz, long, 0000000000000000
lore.-miarkraim, long, 0000000000000000
lore.-mrbrink53, long, 0000000000000000
lore.-mrsshmeethumb, long, 0000000000000000
lore.-mrzpriceless73, long, 0000000000000000
lore.-natiri607, long, 0000000000000000
lore.-netherkicks, long, 0000000000000000
lore.-nixragnarson, long, 0000000000000000
lore.-noobe_doobe6363, long, 0000000000000000
lore.-ogloc_bruh, long, 0000000000000000
lore.-parrotgirl4333, long, 0000000000000000
lore.-pnnicolas, long, 0000000000000000
lore.-rainbowowl88378, long, 0000000000000000
lore.-sfn2048, long, 0000000000000000
lore.-shadowgiver902, long, 0000000000000000
lore.-shmeethumb, long, 0000000000000000
lore.-shyp4nd4, long, 0000000000000000
lore.-sierralovesyou2, long, 0000000000000000
lore.-stabaho187, long, 0000000000000000
lore.-steverm9403, long, 0000000000000000
lore.-stillnym1988517, long, 0000000000000000
lore.-turningcupid, long, 0000000000000000
lore.-vampires_heart6, long, 0000000000000000
lore.-vcloutphobia, long, 0000000000000000
lore.-wildernesboy, long, 0000000000000000
lore.-xxtroy90xx, long, 0000000000000000
lore._simplysav, long, 0000000000000000
lore.alexzaza, long, 0000000000000000
lore.amin_nasir91, long, 0000000000000000
lore.athwee, long, 0000000000000000
lore.bigbeast89, long, 0000000000000000
lore.biglittleben, long, 0000000000000000
lore.black00widow, long, 0000000000000000
lore.blackcats96, long, 0000000000000000
lore.boopydoopy2350, long, 0000000000000000
lore.certizz, long, 0000000000000000
lore.doddy06, long, 0000000000000000
lore.ecgredneck, long, 0000000000000000
lore.eclipsemc420, long, 0000000000000000
lore.find_wicked, long, 0000000000000000
lore.gamingzation, long, 0000000000000000
lore.haile160, long, 0000000000000000
lore.hathorill, long, 0000000000000000
lore.johnheikens, long, 0000000000000000
lore.kingkaitertot, long, 0000000000000000
lore.laizer101, long, 0000000000000000
lore.maddogselite1, long, 0000000000000000
lore.monaxide, long, 0000000000000000
lore.mr_matthews, long, 0000000000000000
lore.mrzpricey73, long, 0000000000000000
lore.mun_cheez, long, 0000000000000000
lore.muribaka89, long, 0000000000000000
lore.papi_grande2214, long, 0000000000000000
lore.radmobilegaming, long, 0000000000000000
lore.rageofheaven, long, 0000000000000000
lore.shadowy__duckie, long, 0000000000000000
lore.spenceronline, long, 0000000000000000
lore.squishiedragon, long, 0000000000000000
lore.stabaho187, long, 0000000000000000
lore.swagdaddy278, long, 0000000000000000
lore.t0iiialuminati, long, 0000000000000000
lore.turtleduck840, long, 0000000000000000
lore.turtlegaming840, long, 0000000000000000
lore.tyler882d1, long, 0000000000000000
lore.xxtroy_90xx, long, 0000000000000000
lore.yeetthedirtblok, long, 0000000000000000
nether_amount_mined_in_x_sec, long, 0000000000000003
nore.-aj3904, long, 0000000000000000
nore.-ajkiller31, long, 0000000000000000
nore.-angelpink1991, long, 0000000000000000
nore.-beardedcocaire, long, 0000000000000000
nore.-blinkandurdead0, long, 0000000000000000
nore.-charahc, long, 0000000000000000
nore.-cooljayice, long, 0000000000000000
nore.-crazymexican938, long, 0000000000000000
nore.-dazed6977, long, 0000000000000000
nore.-deathnerd77, long, 0000000000000000
nore.-earthymama42, long, 0000000000000000
nore.-gryffydd89, long, 0000000000000000
nore.-hotashml, long, 0000000000000000
nore.-iamfriendbesto, long, 0000000000000000
nore.-ikkaku420235, long, 0000000000000000
nore.-kenpachi4202357, long, 0000000000000000
nore.-lenr0c86, long, 0000000000000000
nore.-lily_riley_roxi, long, 0000000000000000
nore.-lowerlevelll, long, 0000000000000000
nore.-mc0oz, long, 0000000000000000
nore.-miarkraim, long, 0000000000000000
nore.-mrbrink53, long, 0000000000000000
nore.-mrsshmeethumb, long, 0000000000000000
nore.-mrzpriceless73, long, 0000000000000000
nore.-natiri607, long, 0000000000000000
nore.-netherkicks, long, 0000000000000000
nore.-nixragnarson, long, 0000000000000000
nore.-noobe_doobe6363, long, 0000000000000000
nore.-ogloc_bruh, long, 0000000000000000
nore.-parrotgirl4333, long, 0000000000000000
nore.-pnnicolas, long, 0000000000000000
nore.-rainbowowl88378, long, 0000000000000000
nore.-sfn2048, long, 0000000000000000
nore.-shadowgiver902, long, 0000000000000000
nore.-shmeethumb, long, 0000000000000000
nore.-shyp4nd4, long, 0000000000000000
nore.-sierralovesyou2, long, 0000000000000000
nore.-stabaho187, long, 0000000000000000
nore.-steverm9403, long, 0000000000000000
nore.-stillnym1988517, long, 0000000000000000
nore.-turningcupid, long, 0000000000000000
nore.-vampires_heart6, long, 0000000000000000
nore.-vcloutphobia, long, 0000000000000000
nore.-wildernesboy, long, 0000000000000000
nore.-xxtroy90xx, long, 0000000000000000
nore._simplysav, long, 0000000000000000
nore.alexzaza, long, 0000000000000000
nore.amin_nasir91, long, 0000000000000000
nore.athwee, long, 0000000000000000
nore.bigbeast89, long, 0000000000000000
nore.biglittleben, long, 0000000000000000
nore.black00widow, long, 0000000000000000
nore.blackcats96, long, 0000000000000000
nore.boopydoopy2350, long, 0000000000000000
nore.certizz, long, 0000000000000000
nore.doddy06, long, 0000000000000000
nore.ecgredneck, long, 0000000000000000
nore.eclipsemc420, long, 0000000000000000
nore.find_wicked, long, 0000000000000000
nore.gamingzation, long, 0000000000000000
nore.haile160, long, 0000000000000000
nore.hathorill, long, 0000000000000000
nore.johnheikens, long, 0000000000000000
nore.kingkaitertot, long, 0000000000000000
nore.laizer101, long, 0000000000000000
nore.maddogselite1, long, 0000000000000000
nore.monaxide, long, 0000000000000000
nore.mr_matthews, long, 0000000000000000
nore.mrzpricey73, long, 0000000000000000
nore.mun_cheez, long, 0000000000000000
nore.muribaka89, long, 0000000000000000
nore.papi_grande2214, long, 0000000000000000
nore.radmobilegaming, long, 0000000000000000
nore.rageofheaven, long, 0000000000000000
nore.shadowy__duckie, long, 0000000000000000
nore.spenceronline, long, 0000000000000000
nore.squishiedragon, long, 0000000000000000
nore.stabaho187, long, 0000000000000000
nore.swagdaddy278, long, 0000000000000000
nore.t0iiialuminati, long, 0000000000000000
nore.turtleduck840, long, 0000000000000000
nore.turtlegaming840, long, 0000000000000000
nore.tyler882d1, long, 0000000000000000
nore.xxtroy_90xx, long, 0000000000000000
nore.yeetthedirtblok, long, 0000000000000000
obf.name, string, 8018C2A7385BC2A7654E6F7420416374697661746564C2A7385D
offdore::-ikkaku420235, long, 0000000000000000
offdore::-stabaho187, long, 0000000000000000
offdore::-turningcupid, long, 0000000000000000
offdore::black00widow, long, 0000000000000000
offdore::blackcats96, long, 0000000000000000
offdore::boopydoopy2350, long, 0000000000000000
offdore::kingkaitertot, long, 0000000000000000
offdore::muribaka89, long, 0000000000000000
offdore::papi_grande2214, long, 0000000000000000
offdore::radmobilegaming, long, 0000000000000000
offdore::stabaho187, long, 0000000000000000
offdore::t0iiialuminati, long, 0000000000000000
offdore.-aj3904, long, 0000000000000000
offdore.-ajkiller31, long, 0000000000000000
offdore.-angelpink1991, long, 0000000000000000
offdore.-beardedcocaire, long, 0000000000000000
offdore.-blinkandurdead0, long, 0000000000000000
offdore.-charahc, long, 0000000000000000
offdore.-cooljayice, long, 0000000000000000
offdore.-crazymexican938, long, 0000000000000000
offdore.-dazed6977, long, 0000000000000000
offdore.-deathnerd77, long, 0000000000000000
offdore.-earthymama42, long, 0000000000000000
offdore.-gryffydd89, long, 0000000000000000
offdore.-hotashml, long, 0000000000000000
offdore.-iamfriendbesto, long, 0000000000000000
offdore.-ikkaku420235, long, 0000000000000000
offdore.-kenpachi4202357, long, 0000000000000000
offdore.-lenr0c86, long, 0000000000000000
offdore.-lily_riley_roxi, long, 0000000000000000
offdore.-lowerlevelll, long, 0000000000000000
offdore.-mc0oz, long, 0000000000000000
offdore.-miarkraim, long, 0000000000000000
offdore.-mrbrink53, long, 0000000000000000
offdore.-mrsshmeethumb, long, 0000000000000000
offdore.-mrzpriceless73, long, 0000000000000000
offdore.-natiri607, long, 0000000000000000
offdore.-netherkicks, long, 0000000000000000
offdore.-nixragnarson, long, 0000000000000000
offdore.-noobe_doobe6363, long, 0000000000000000
offdore.-ogloc_bruh, long, 0000000000000000
offdore.-parrotgirl4333, long, 0000000000000000
offdore.-pnnicolas, long, 0000000000000000
offdore.-rainbowowl88378, long, 0000000000000000
offdore.-sfn2048, long, 0000000000000000
offdore.-shadowgiver902, long, 0000000000000000
offdore.-shmeethumb, long, 0000000000000000
offdore.-shyp4nd4, long, 0000000000000000
offdore.-sierralovesyou2, long, 0000000000000000
offdore.-stabaho187, long, 0000000000000000
offdore.-steverm9403, long, 0000000000000000
offdore.-stillnym1988517, long, 0000000000000000
offdore.-turningcupid, long, 0000000000000000
offdore.-vampires_heart6, long, 0000000000000000
offdore.-vcloutphobia, long, 0000000000000000
offdore.-wildernesboy, long, 0000000000000000
offdore.-xxtroy90xx, long, 0000000000000000
offdore._simplysav, long, 0000000000000000
offdore.alexzaza, long, 0000000000000000
offdore.amin_nasir91, long, 0000000000000000
offdore.athwee, long, 0000000000000000
offdore.bigbeast89, long, 0000000000000000
offdore.biglittleben, long, 0000000000000000
offdore.black00widow, long, 0000000000000000
offdore.blackcats96, long, 0000000000000000
offdore.boopydoopy2350, long, 0000000000000000
offdore.certizz, long, 0000000000000000
offdore.doddy06, long, 0000000000000000
offdore.ecgredneck, long, 0000000000000000
offdore.eclipsemc420, long, 0000000000000000
offdore.find_wicked, long, 0000000000000000
offdore.gamingzation, long, 0000000000000000
offdore.haile160, long, 0000000000000000
offdore.hathorill, long, 0000000000000000
offdore.johnheikens, long, 0000000000000000
offdore.kingkaitertot, long, 0000000000000000
offdore.laizer101, long, 0000000000000000
offdore.maddogselite1, long, 0000000000000000
offdore.monaxide, long, 0000000000000000
offdore.mr_matthews, long, 0000000000000000
offdore.mrzpricey73, long, 0000000000000000
offdore.mun_cheez, long, 0000000000000000
offdore.muribaka89, long, 0000000000000000
offdore.papi_grande2214, long, 0000000000000000
offdore.radmobilegaming, long, 0000000000000000
offdore.rageofheaven, long, 0000000000000000
offdore.shadowy__duckie, long, 0000000000000000
offdore.spenceronline, long, 0000000000000000
offdore.squishiedragon, long, 0000000000000000
offdore.stabaho187, long, 0000000000000000
offdore.swagdaddy278, long, 0000000000000000
offdore.t0iiialuminati, long, 0000000000000000
offdore.turtleduck840, long, 0000000000000000
offdore.turtlegaming840, long, 0000000000000000
offdore.tyler882d1, long, 0000000000000000
offdore.xxtroy_90xx, long, 0000000000000000
offdore.yeetthedirtblok, long, 0000000000000000
offeore::-ikkaku420235, long, 0000000000000000
offeore::-stabaho187, long, 0000000000000000
offeore::-turningcupid, long, 0000000000000000
offeore::black00widow, long, 0000000000000000
offeore::blackcats96, long, 0000000000000000
offeore::boopydoopy2350, long, 0000000000000000
offeore::kingkaitertot, long, 0000000000000000
offeore::muribaka89, long, 0000000000000000
offeore::papi_grande2214, long, 0000000000000000
offeore::radmobilegaming, long, 0000000000000000
offeore::stabaho187, long, 0000000000000000
offeore::t0iiialuminati, long, 0000000000000000
offeore.-aj3904, long, 0000000000000000
offeore.-ajkiller31, long, 0000000000000000
offeore.-angelpink1991, long, 0000000000000000
